data,mes,ano,cliente,processo,area,advogado,status_recebimento,honorarios_previstos,honorarios_recebidos,horas_trabalhadas,valor,empresa
2025-09-01,Setembro,2025,Verde Agro,3000047-44.2026.8.26.8412,Tributário,Carlos Nogueira,Recebido,26768.85,17783.62,11.0,26768.85,Dobra Legal
2025-09-01,Setembro,2025,Costa Farma,3000048-44.2026.8.26.5945,Cível,Juliana Alves,Em aberto,8331.13,6522.64,26.7,8331.13,Dobra Legal
2025-09-01,Setembro,2025,Delta Log,3000049-44.2026.8.26.5521,Família,Fernanda Lima,Parcial,6316.17,5810.08,88.6,6316.17,Dobra Legal
2025-09-01,Setembro,2025,Aurora Moda,3000050-44.2026.8.26.3557,Trabalhista,Juliana Alves,Recebido,3790.93,2870.37,58.6,3790.93,Dobra Legal
2025-09-01,Setembro,2025,Pampa Alimentos,3000051-44.2026.8.26.7550,Família,Rafael Mendes,Parcial,4118.89,2822.00,71.0,4118.89,Dobra Legal
2025-09-01,Setembro,2025,Serra Café,3000052-44.2026.8.26.2562,Família,Juliana Alves,Recebido,10972.58,10111.97,78.3,10972.58,Dobra Legal
2025-09-01,Setembro,2025,Maré Energia,3000053-44.2026.8.26.6478,Empresarial,Carlos Nogueira,Recebido,10441.44,6005.55,83.5,10441.44,Dobra Legal
2025-09-01,Setembro,2025,Céu Soft,3000054-44.2026.8.26.1187,Contratos,Carlos Nogueira,Recebido,5114.05,4767.65,53.6,5114.05,Dobra Legal
2025-09-01,Setembro,2025,Rio Branco,3000055-44.2026.8.26.9231,Contratos,Rafael Mendes,Recebido,8135.15,5021.92,66.6,8135.15,Dobra Legal
2025-09-01,Setembro,2025,Casa Norte,3000056-44.2026.8.26.9269,Cível,Rafael Mendes,Recebido,15462.10,13742.38,76.4,15462.10,Dobra Legal
2025-09-01,Setembro,2025,Sul Minas,3000057-44.2026.8.26.1807,Família,Carlos Nogueira,Recebido,3867.68,2270.89,42.7,3867.68,Dobra Legal
2025-09-01,Setembro,2025,Boa Vista,3000058-44.2026.8.26.3209,Tributário,Fernanda Lima,Recebido,14352.77,8736.08,42.4,14352.77,Dobra Legal
2025-09-01,Setembro,2025,Terra Nova,3000059-44.2026.8.26.9589,Trabalhista,Rafael Mendes,Recebido,19541.38,16164.60,75.6,19541.38,Dobra Legal
2025-10-01,Outubro,2025,Atlas Ltda,3000060-44.2026.8.26.2843,Contratos,Carlos Nogueira,Recebido,8643.43,6994.33,38.3,8643.43,Dobra Legal
2025-10-01,Outubro,2025,Nimbus SA,3000061-44.2026.8.26.5994,Trabalhista,Juliana Alves,Parcial,7449.28,6294.16,94.1,7449.28,Dobra Legal
2025-10-01,Outubro,2025,Forge Engenharia,3000062-44.2026.8.26.4825,Trabalhista,Juliana Alves,Recebido,13505.40,10104.86,71.4,13505.40,Dobra Legal
2025-10-01,Outubro,2025,Helix Saúde,3000063-44.2026.8.26.3419,Empresarial,Mariana Costa,Recebido,2381.59,1368.32,78.0,2381.59,Dobra Legal
2025-10-01,Outubro,2025,Orbit Educação,3000064-44.2026.8.26.4424,Contratos,Fernanda Lima,Recebido,7819.72,4380.89,55.5,7819.72,Dobra Legal
2025-10-01,Outubro,2025,Pulse Varejo,3000065-44.2026.8.26.3315,Contratos,Mariana Costa,Recebido,8166.29,6781.03,86.8,8166.29,Dobra Legal
2025-10-01,Outubro,2025,Lumen Tech,3000066-44.2026.8.26.5653,Trabalhista,Fernanda Lima,Recebido,18030.47,11298.68,48.5,18030.47,Dobra Legal
2025-10-01,Outubro,2025,Verde Agro,3000067-44.2026.8.26.6901,Cível,Mariana Costa,Recebido,2323.91,1968.74,84.9,2323.91,Dobra Legal
2025-10-01,Outubro,2025,Costa Farma,3000068-44.2026.8.26.2631,Empresarial,Carlos Nogueira,Em aberto,11300.32,8151.10,54.2,11300.32,Dobra Legal
2025-10-01,Outubro,2025,Delta Log,3000069-44.2026.8.26.1352,Cível,Rafael Mendes,Em aberto,4002.72,3942.91,34.5,4002.72,Dobra Legal
2025-10-01,Outubro,2025,Aurora Moda,3000070-44.2026.8.26.6681,Contratos,Juliana Alves,Recebido,12212.87,7579.95,34.3,12212.87,Dobra Legal
2025-10-01,Outubro,2025,Pampa Alimentos,3000071-44.2026.8.26.5221,Tributário,Mariana Costa,Em aberto,20331.19,11749.49,90.6,20331.19,Dobra Legal
2025-10-01,Outubro,2025,Serra Café,3000072-44.2026.8.26.3248,Cível,Carlos Nogueira,Recebido,3907.21,3726.42,67.0,3907.21,Dobra Legal
2025-10-01,Outubro,2025,Maré Energia,3000073-44.2026.8.26.7987,Empresarial,Fernanda Lima,Recebido,4445.10,3590.77,55.2,4445.10,Dobra Legal
2025-10-01,Outubro,2025,Céu Soft,3000074-44.2026.8.26.4314,Trabalhista,Juliana Alves,Parcial,4921.26,3993.42,86.2,4921.26,Dobra Legal
2025-10-01,Outubro,2025,Rio Branco,3000075-44.2026.8.26.3378,Contratos,Fernanda Lima,Em aberto,4470.88,4287.80,35.6,4470.88,Dobra Legal
2025-10-01,Outubro,2025,Casa Norte,3000076-44.2026.8.26.4016,Empresarial,Rafael Mendes,Parcial,22876.32,19988.14,74.6,22876.32,Dobra Legal
2025-10-01,Outubro,2025,Sul Minas,3000077-44.2026.8.26.5485,Trabalhista,Rafael Mendes,Recebido,15406.73,10576.82,24.1,15406.73,Dobra Legal
2025-10-01,Outubro,2025,Boa Vista,3000078-44.2026.8.26.4783,Família,Rafael Mendes,Recebido,23707.77,19500.16,10.3,23707.77,Dobra Legal
2025-10-01,Outubro,2025,Terra Nova,3000079-44.2026.8.26.9230,Família,Carlos Nogueira,Parcial,3107.06,2375.26,40.5,3107.06,Dobra Legal
2025-11-01,Novembro,2025,Atlas Ltda,3000080-44.2026.8.26.4166,Trabalhista,Mariana Costa,Recebido,12764.38,7810.28,92.3,12764.38,Dobra Legal
2025-11-01,Novembro,2025,Nimbus SA,3000081-44.2026.8.26.4323,Trabalhista,Mariana Costa,Recebido,9575.20,6225.31,91.1,9575.20,Dobra Legal
2025-11-01,Novembro,2025,Forge Engenharia,3000082-44.2026.8.26.6323,Tributário,Rafael Mendes,Recebido,14877.60,11462.81,75.5,14877.60,Dobra Legal
2025-11-01,Novembro,2025,Helix Saúde,3000083-44.2026.8.26.6126,Tributário,Fernanda Lima,Em aberto,24879.78,17942.51,57.8,24879.78,Dobra Legal
2025-11-01,Novembro,2025,Orbit Educação,3000084-44.2026.8.26.1630,Família,Mariana Costa,Recebido,22799.78,21525.33,79.9,22799.78,Dobra Legal
2025-11-01,Novembro,2025,Pulse Varejo,3000085-44.2026.8.26.9812,Tributário,Mariana Costa,Parcial,3346.00,2210.28,52.9,3346.00,Dobra Legal
2025-11-01,Novembro,2025,Lumen Tech,3000086-44.2026.8.26.5989,Empresarial,Carlos Nogueira,Recebido,2479.21,1853.95,33.6,2479.21,Dobra Legal
2025-11-01,Novembro,2025,Verde Agro,3000087-44.2026.8.26.8595,Contratos,Carlos Nogueira,Recebido,3109.34,2974.56,51.6,3109.34,Dobra Legal
2025-11-01,Novembro,2025,Costa Farma,3000088-44.2026.8.26.9952,Trabalhista,Carlos Nogueira,Recebido,5176.93,5032.13,47.2,5176.93,Dobra Legal
2025-11-01,Novembro,2025,Delta Log,3000089-44.2026.8.26.4308,Tributário,Mariana Costa,Recebido,4518.70,4308.48,68.2,4518.70,Dobra Legal
2025-11-01,Novembro,2025,Aurora Moda,3000090-44.2026.8.26.2870,Contratos,Carlos Nogueira,Parcial,5054.71,3061.11,15.4,5054.71,Dobra Legal
2025-11-01,Novembro,2025,Pampa Alimentos,3000091-44.2026.8.26.3619,Tributário,Fernanda Lima,Recebido,14088.67,13931.38,74.8,14088.67,Dobra Legal
2025-11-01,Novembro,2025,Serra Café,3000092-44.2026.8.26.3459,Trabalhista,Rafael Mendes,Recebido,8224.88,6964.73,69.9,8224.88,Dobra Legal
2025-11-01,Novembro,2025,Maré Energia,3000093-44.2026.8.26.8311,Empresarial,Rafael Mendes,Recebido,11732.85,10308.16,19.4,11732.85,Dobra Legal
2025-11-01,Novembro,2025,Céu Soft,3000094-44.2026.8.26.1200,Tributário,Carlos Nogueira,Em aberto,3607.15,3226.34,55.3,3607.15,Dobra Legal
2025-11-01,Novembro,2025,Rio Branco,3000095-44.2026.8.26.4553,Família,Carlos Nogueira,Recebido,3006.06,2320.86,46.4,3006.06,Dobra Legal
2025-11-01,Novembro,2025,Casa Norte,3000096-44.2026.8.26.9967,Empresarial,Fernanda Lima,Parcial,23541.01,15539.91,79.4,23541.01,Dobra Legal
2025-11-01,Novembro,2025,Sul Minas,3000097-44.2026.8.26.6718,Cível,Rafael Mendes,Em aberto,3699.06,2281.27,66.0,3699.06,Dobra Legal
2025-11-01,Novembro,2025,Boa Vista,3000098-44.2026.8.26.1803,Cível,Carlos Nogueira,Em aberto,20554.57,19818.17,22.0,20554.57,Dobra Legal
2025-11-01,Novembro,2025,Terra Nova,3000099-44.2026.8.26.3906,Tributário,Fernanda Lima,Recebido,8384.93,7220.94,11.1,8384.93,Dobra Legal
2025-12-01,Dezembro,2025,Atlas Ltda,3000100-44.2026.8.26.2108,Tributário,Fernanda Lima,Recebido,7373.10,7033.12,49.0,7373.10,Dobra Legal
2025-12-01,Dezembro,2025,Nimbus SA,3000101-44.2026.8.26.9635,Tributário,Fernanda Lima,Recebido,3115.22,2098.06,26.2,3115.22,Dobra Legal
2025-12-01,Dezembro,2025,Forge Engenharia,3000102-44.2026.8.26.9666,Cível,Carlos Nogueira,Parcial,2377.72,2088.54,60.6,2377.72,Dobra Legal
2025-12-01,Dezembro,2025,Helix Saúde,3000103-44.2026.8.26.5254,Família,Fernanda Lima,Em aberto,7738.96,7208.91,38.8,7738.96,Dobra Legal
2025-12-01,Dezembro,2025,Orbit Educação,3000104-44.2026.8.26.9154,Tributário,Rafael Mendes,Em aberto,4843.94,3746.20,28.2,4843.94,Dobra Legal
2025-12-01,Dezembro,2025,Pulse Varejo,3000105-44.2026.8.26.1392,Tributário,Mariana Costa,Parcial,9677.19,5329.34,26.0,9677.19,Dobra Legal
2025-12-01,Dezembro,2025,Lumen Tech,3000106-44.2026.8.26.6468,Empresarial,Fernanda Lima,Em aberto,27489.97,20241.37,26.5,27489.97,Dobra Legal
2025-12-01,Dezembro,2025,Verde Agro,3000107-44.2026.8.26.2111,Empresarial,Juliana Alves,Recebido,4997.28,3320.64,36.2,4997.28,Dobra Legal
2025-12-01,Dezembro,2025,Costa Farma,3000108-44.2026.8.26.7488,Contratos,Fernanda Lima,Parcial,2383.43,1668.35,10.5,2383.43,Dobra Legal
2025-12-01,Dezembro,2025,Delta Log,3000109-44.2026.8.26.8849,Tributário,Mariana Costa,Parcial,3992.88,3694.30,49.9,3992.88,Dobra Legal
2025-12-01,Dezembro,2025,Aurora Moda,3000110-44.2026.8.26.6490,Tributário,Carlos Nogueira,Em aberto,15017.83,11888.64,12.9,15017.83,Dobra Legal
2025-12-01,Dezembro,2025,Pampa Alimentos,3000111-44.2026.8.26.6169,Família,Fernanda Lima,Recebido,20563.50,18018.44,58.2,20563.50,Dobra Legal
2025-12-01,Dezembro,2025,Serra Café,3000112-44.2026.8.26.6793,Cível,Rafael Mendes,Recebido,9046.37,8590.55,10.7,9046.37,Dobra Legal
2025-12-01,Dezembro,2025,Maré Energia,3000113-44.2026.8.26.7382,Trabalhista,Fernanda Lima,Recebido,13524.12,12565.03,76.1,13524.12,Dobra Legal
2025-12-01,Dezembro,2025,Céu Soft,3000114-44.2026.8.26.1518,Empresarial,Carlos Nogueira,Recebido,8715.48,6026.97,84.3,8715.48,Dobra Legal
2025-12-01,Dezembro,2025,Rio Branco,3000115-44.2026.8.26.4541,Família,Juliana Alves,Recebido,7826.19,7652.66,40.6,7826.19,Dobra Legal
2025-12-01,Dezembro,2025,Casa Norte,3000116-44.2026.8.26.8270,Família,Mariana Costa,Parcial,3220.02,3094.46,86.7,3220.02,Dobra Legal
2025-12-01,Dezembro,2025,Sul Minas,3000117-44.2026.8.26.9579,Empresarial,Juliana Alves,Recebido,3985.18,3848.23,83.8,3985.18,Dobra Legal
2025-12-01,Dezembro,2025,Boa Vista,3000118-44.2026.8.26.1598,Tributário,Carlos Nogueira,Parcial,24299.50,14815.96,53.4,24299.50,Dobra Legal
2025-12-01,Dezembro,2025,Terra Nova,3000119-44.2026.8.26.2426,Empresarial,Carlos Nogueira,Em aberto,2631.84,1499.66,17.0,2631.84,Dobra Legal
2026-01-01,Janeiro,2026,Atlas Ltda,3000120-44.2026.8.26.4438,Empresarial,Rafael Mendes,Recebido,6318.91,5632.18,32.1,6318.91,Dobra Legal
2026-01-01,Janeiro,2026,Nimbus SA,3000121-44.2026.8.26.5467,Trabalhista,Rafael Mendes,Recebido,8952.48,7627.57,9.3,8952.48,Dobra Legal
2026-01-01,Janeiro,2026,Forge Engenharia,3000122-44.2026.8.26.9888,Empresarial,Fernanda Lima,Recebido,23140.30,13793.21,20.3,23140.30,Dobra Legal
2026-01-01,Janeiro,2026,Helix Saúde,3000123-44.2026.8.26.6101,Família,Juliana Alves,Recebido,8255.03,5176.51,12.4,8255.03,Dobra Legal
2026-01-01,Janeiro,2026,Orbit Educação,3000124-44.2026.8.26.2735,Tributário,Mariana Costa,Recebido,2833.13,2419.41,42.1,2833.13,Dobra Legal
2026-01-01,Janeiro,2026,Pulse Varejo,3000125-44.2026.8.26.8304,Família,Juliana Alves,Recebido,26423.63,22017.80,79.1,26423.63,Dobra Legal
2026-01-01,Janeiro,2026,Lumen Tech,3000126-44.2026.8.26.8629,Família,Rafael Mendes,Recebido,18377.60,17739.03,77.8,18377.60,Dobra Legal
2026-01-01,Janeiro,2026,Verde Agro,3000127-44.2026.8.26.8625,Tributário,Rafael Mendes,Em aberto,10547.10,7274.09,20.5,10547.10,Dobra Legal
2026-01-01,Janeiro,2026,Costa Farma,3000128-44.2026.8.26.4004,Contratos,Juliana Alves,Parcial,20154.72,14381.45,84.8,20154.72,Dobra Legal
2026-01-01,Janeiro,2026,Delta Log,3000129-44.2026.8.26.2849,Empresarial,Carlos Nogueira,Recebido,12742.23,7383.03,22.9,12742.23,Dobra Legal
2026-01-01,Janeiro,2026,Aurora Moda,3000130-44.2026.8.26.2686,Tributário,Mariana Costa,Recebido,8361.59,5078.22,64.5,8361.59,Dobra Legal
2026-01-01,Janeiro,2026,Pampa Alimentos,3000131-44.2026.8.26.7773,Trabalhista,Fernanda Lima,Recebido,8109.94,5923.23,21.8,8109.94,Dobra Legal
2026-01-01,Janeiro,2026,Serra Café,3000132-44.2026.8.26.8063,Tributário,Fernanda Lima,Parcial,12158.97,8551.66,55.4,12158.97,Dobra Legal
2026-01-01,Janeiro,2026,Maré Energia,3000133-44.2026.8.26.8972,Cível,Fernanda Lima,Parcial,3950.50,3363.15,36.3,3950.50,Dobra Legal
2026-01-01,Janeiro,2026,Céu Soft,3000134-44.2026.8.26.7648,Cível,Fernanda Lima,Recebido,3275.75,2061.36,78.8,3275.75,Dobra Legal
2026-01-01,Janeiro,2026,Rio Branco,3000135-44.2026.8.26.2007,Cível,Rafael Mendes,Em aberto,11841.67,9949.91,85.2,11841.67,Dobra Legal
2026-01-01,Janeiro,2026,Casa Norte,3000136-44.2026.8.26.8421,Família,Juliana Alves,Recebido,3193.92,2706.52,58.3,3193.92,Dobra Legal
2026-01-01,Janeiro,2026,Sul Minas,3000137-44.2026.8.26.5910,Família,Juliana Alves,Em aberto,4016.46,3794.92,89.5,4016.46,Dobra Legal
2026-01-01,Janeiro,2026,Boa Vista,3000138-44.2026.8.26.9362,Tributário,Rafael Mendes,Em aberto,9715.92,7891.53,13.4,9715.92,Dobra Legal
2026-01-01,Janeiro,2026,Terra Nova,3000139-44.2026.8.26.6885,Cível,Juliana Alves,Em aberto,27182.21,14960.53,28.5,27182.21,Dobra Legal
2026-02-01,Fevereiro,2026,Atlas Ltda,3000140-44.2026.8.26.7271,Tributário,Carlos Nogueira,Recebido,21503.26,14905.14,26.4,21503.26,Dobra Legal
2026-02-01,Fevereiro,2026,Nimbus SA,3000141-44.2026.8.26.7301,Empresarial,Carlos Nogueira,Recebido,4561.61,2895.27,94.8,4561.61,Dobra Legal
2026-02-01,Fevereiro,2026,Forge Engenharia,3000142-44.2026.8.26.1257,Trabalhista,Carlos Nogueira,Parcial,3871.91,2254.56,92.8,3871.91,Dobra Legal
2026-02-01,Fevereiro,2026,Helix Saúde,3000143-44.2026.8.26.7813,Tributário,Fernanda Lima,Em aberto,3771.44,3164.28,62.2,3771.44,Dobra Legal
2026-02-01,Fevereiro,2026,Orbit Educação,3000144-44.2026.8.26.8373,Tributário,Juliana Alves,Recebido,12865.46,10272.07,45.0,12865.46,Dobra Legal
2026-02-01,Fevereiro,2026,Pulse Varejo,3000145-44.2026.8.26.4878,Contratos,Fernanda Lima,Recebido,2968.20,2763.58,88.6,2968.20,Dobra Legal
2026-02-01,Fevereiro,2026,Lumen Tech,3000146-44.2026.8.26.8917,Contratos,Juliana Alves,Recebido,21233.00,21025.03,49.9,21233.00,Dobra Legal
2026-02-01,Fevereiro,2026,Verde Agro,3000147-44.2026.8.26.5578,Tributário,Fernanda Lima,Recebido,2419.03,2126.53,85.4,2419.03,Dobra Legal
2026-02-01,Fevereiro,2026,Costa Farma,3000148-44.2026.8.26.2279,Contratos,Fernanda Lima,Parcial,2548.99,2125.34,35.2,2548.99,Dobra Legal
2026-02-01,Fevereiro,2026,Delta Log,3000149-44.2026.8.26.1176,Tributário,Carlos Nogueira,Recebido,3378.52,2671.61,48.8,3378.52,Dobra Legal
2026-02-01,Fevereiro,2026,Aurora Moda,3000150-44.2026.8.26.5827,Empresarial,Rafael Mendes,Recebido,7717.77,7580.87,88.3,7717.77,Dobra Legal
2026-02-01,Fevereiro,2026,Pampa Alimentos,3000151-44.2026.8.26.2006,Contratos,Carlos Nogueira,Parcial,8791.67,7065.58,57.8,8791.67,Dobra Legal
2026-02-01,Fevereiro,2026,Serra Café,3000152-44.2026.8.26.5699,Tributário,Mariana Costa,Recebido,9079.22,7544.31,14.7,9079.22,Dobra Legal
2026-02-01,Fevereiro,2026,Maré Energia,3000153-44.2026.8.26.5509,Empresarial,Mariana Costa,Parcial,7124.70,5892.90,60.5,7124.70,Dobra Legal
2026-02-01,Fevereiro,2026,Céu Soft,3000154-44.2026.8.26.7058,Trabalhista,Juliana Alves,Parcial,24915.78,21094.19,28.5,24915.78,Dobra Legal
2026-02-01,Fevereiro,2026,Rio Branco,3000155-44.2026.8.26.6617,Cível,Rafael Mendes,Parcial,5218.73,4894.68,79.5,5218.73,Dobra Legal
2026-02-01,Fevereiro,2026,Casa Norte,3000156-44.2026.8.26.7277,Trabalhista,Carlos Nogueira,Parcial,14234.28,10473.96,22.6,14234.28,Dobra Legal
2026-02-01,Fevereiro,2026,Sul Minas,3000157-44.2026.8.26.5331,Cível,Mariana Costa,Recebido,24870.17,17540.54,42.7,24870.17,Dobra Legal
2026-02-01,Fevereiro,2026,Boa Vista,3000158-44.2026.8.26.9724,Trabalhista,Carlos Nogueira,Parcial,7911.69,7727.46,41.9,7911.69,Dobra Legal
2026-02-01,Fevereiro,2026,Terra Nova,3000159-44.2026.8.26.1194,Empresarial,Carlos Nogueira,Recebido,6749.48,6355.48,35.5,6749.48,Dobra Legal
2026-03-01,Março,2026,Atlas Ltda,3000160-44.2026.8.26.9704,Contratos,Juliana Alves,Em aberto,24360.48,13847.91,45.6,24360.48,Dobra Legal
2026-03-01,Março,2026,Nimbus SA,3000161-44.2026.8.26.2610,Empresarial,Fernanda Lima,Recebido,7415.74,4969.95,75.3,7415.74,Dobra Legal
